Actor,Betweenness
John C. Reilly,0.0
Ed Harris,0.0
Jan de Bont,0.0
Robert Zemeckis,0.0
Milos Forman,0.0
Diane Keaton,0.0
Nancy Meyers,0.0
Chris Columbus,0.0
Julia Roberts,0.0
Madonna,0.0
Geena Davis,0.0
Lori Petty,0.0
Penny Marshall,0.0
Paul Blythe,0.0
Derek Jacobi,0.0
Ramona Marquez,0.0
Tom Hooper,0.0
David Seidler,0.0
Daniel Day-Lewis,0.0
Kevin J. O'Connor,0.0
Barry Del Sherman,0.0
Paul F. Tompkins,0.0
Paul Thomas Anderson,0.0
Meryl Streep,0.0
Anthony Stewart Head,0.0
Harry Lloyd,0.0
Iain Glen,0.0
Olivia Colman,0.0
Phyllida Lloyd,0.0
Abi Morgan,0.0
Sean Connery,0.0
Andy García,0.0
Charles Martin Smith,0.0
Richard Bradford,0.0
Billy Drago,0.0
Patricia Clarkson,0.0
Don Harvey,0.0
Brian De Palma,0.0
Art Linson,0.0
David Mamet,0.0
Philip Seymour Hoffman,0.0
Kwesi Ameyaw,0.0
Chris Cooper,0.0
"Clifton Collins, Jr.",0.0
Mark Pellegrino,0.0
Amy Ryan,0.0
Bennett Miller,0.0
Dan Futterman,0.0
Anna Faris,0.0
Giovanni Ribisi,0.0
James,0.0
Thomas,0.0
Gastone Moschin,0.0
Bruno Kirby,0.0
Marianna Hill,0.0
Dominic Chianese,0.0
Fay Spain,0.0
Danny Aiello,0.0
Drew Maxwell,0.0
Eli Wallach,0.0
Clint Eastwood,0.0
Lee Van Cleef,0.0
Aldo Giuffrè,0.0
Aldo Sambrell,0.0
Mario Brega,0.0
Sergio Leone,0.0
Luciano Vincenzoni,0.0
Heath Ledger,0.0
Maggie Gyllenhaal,0.0
Aaron Eckhart,0.0
Anthony Michael Hall,0.0
Chin Han,0.0
Eric Roberts,0.0
Melinda McGraw,0.0
Ritchie Coster,0.0
Keith Szarabajka,0.0
Colin McFarlane,0.0
Christopher Nolan,0.0
Jonathan Nolan,0.0
David S. Goyer,0.0
Anne Hathaway,0.0
Juno Temple,0.0
Josh Pence,0.0
Vincent van Ommen,0.0
Tom Conti,0.0
Matthew Modine,0.0
Joey King,0.0
Alon Aboutboul,0.0
Warren Brown,0.0
Ben Mendelsohn,0.0
Daniel Sunjata,0.0
Aiden Gillen,0.0
Ralph Fiennes,0.0
Caroline Goodall,0.0
Embeth Davidtz,0.0
Andrzej Seweryn,0.0
Friedrich von Thun,0.0
Krzysztof Luft,0.0
Michael Gordon,0.0
Steven Spielberg,0.0
Steven Zaillian,0.0
Gerald R. Molen,0.0
Henry Fonda,0.0
Lee J. Cobb,0.0
Ed Begley,0.0
E. G. Marshall,0.0
Jack Warden,0.0
Martin Balsam,0.0
John Fiedler,0.0
Jack Klugman,0.0
Edward Binns,0.0
George Voskovec,0.0
Robert Webber,0.0
Sidney Lumet,0.0
Reginald Rose,0.0
John Noble,0.0
Paul Norell,0.0
Peter Jackson,0.0
Bob Weinstein,0.0
Harvey Weinstein,0.0
Fran Walsh,0.0
Philippa Boyens,0.0
Edward Norton,0.0
Meat Loaf,0.0
Zach Grenier,0.0
Holt McCallany,0.0
Eion Bailey,0.0
David Fincher,0.0
Billy Dee Williams,0.0
Frank Oz,0.0
Julian Glover,0.0
John Ratzenberger,0.0
Jon Favreau,0.0
Kevin Feige,0.0
Zak Penn,0.0
Gemma Arterton,0.0
Famke Janssen,0.0
Pihla Viitala,0.0
Derek Mears,0.0
Ingrid Bolsø Berdal,0.0
Zoë Bell,0.0
Joanna Kulig,0.0
Monique Ganderton,0.0
Thomas Scharff,0.0
Tommy Wirkola,0.0
Adam McKay,0.0
Dante Harper,0.0
Zac Efron,0.0
Taylor Swift,0.0
Ed Helms,0.0
Willow Smith,0.0
Rob Riggle,0.0
Betty White,0.0
Jenny Slate,0.0
Nasim Pedrad,0.0
Elmarie Wendel,0.0
Danny Cooksey,0.0
Chris Renaud,0.0
Kyle Balda,0.0
Cinco Paul,0.0
Ken Daurio,0.0
Lea Salonga,0.0
Eddie Murphy,0.0
BD Wong,0.0
Ming-Na Wen,0.0
Miguel Ferrer,0.0
Harvey Fierstein,0.0
June Foray,0.0
James Hong,0.0
Miriam Margolyes,0.0
Pat Morita,0.0
Soon-Tek Oh,0.0
Donny Osmond,0.0
James Shigeta,0.0
George Takei,0.0
Gedde Watanabe,0.0
Frank Welker,0.0
Tony Bancroft,0.0
Barry Cook,0.0
Rita Hsiao,0.0
Philip LaZebnik,0.0
Raymond Singer,0.0
Eugenia Bostwick-Singer,0.0
Angelina Jolie,0.0
John Malkovich,0.0
Brendan Gleeson,0.0
Crispin Glover,0.0
Alison Lohman,0.0
Greg Ellis,0.0
Sebastian Roché,0.0
Dominic Keating,0.0
Rik Young,0.0
Neil Gaiman,0.0
James Purefoy,0.0
Alice Krige,0.0
Mackenzie Crook,0.0
Max von Sydow,0.0
Jason Flemyng,0.0
Rachel Hurd-Wood,0.0
Anthony Wilks,0.0
Ian Whyte,0.0
James Babson,0.0
Michael J. Bassett,0.0
Kevin Spacey,0.0
Stephen Baldwin,0.0
Gabriel Byrne,0.0
Benicio del Toro,0.0
Kevin Pollak,0.0
Chazz Palminteri,0.0
Giancarlo Esposito,0.0
Suzy Amis,0.0
Dan Hedaya,0.0
Christine Estabrook,0.0
Paul Bartel,0.0
Bryan Singer,0.0
Christopher McQuarrie,0.0
Asa Butterfield,0.0
Chloë Grace Moretz,0.0
Sacha Baron Cohen,0.0
Jude Law,0.0
Helen McCrory,0.0
Michael Stuhlbarg,0.0
Emily Mortimer,0.0
Frances de la Tour,0.0
Richard Griffiths,0.0
Johnny Depp,0.0
John Logan,0.0
Brian Selznick,0.0
William H. Macy,0.0
Frances McDormand,0.0
Harve Presnell,0.0
John Carroll Lynch,0.0
Steve Reevis,0.0
Joel Coen,0.0
Ethan Coen,0.0
Kasi Lemmons,0.0
Scott Glenn,0.0
Anthony Heald,0.0
Frankie Faison,0.0
Brooke Smith,0.0
Ted Levine,0.0
Tracey Walter,0.0
Dan Butler,0.0
Obba Babatunde,0.0
Diane Baker,0.0
Charles Napier,0.0
Chris Isaak,0.0
Daniel von Bargen,0.0
George A. Romero,0.0
Jonathan Demme,0.0
Ted Tally,0.0
Thomas Harris,0.0
Colin Firth,0.0
Geoffrey Rush,0.0
Guy Pearce,0.0
Timothy Spall,0.0
